frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,head_pitch_joint,head_yaw_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_elbow_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_elbow_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,waist_pitch_joint,waist_roll_joint,waist_yaw_joint,right_ankle_roll_joint,right_ankle_pitch_joint,right_knee_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,left_ankle_roll_joint,left_ankle_pitch_joint,left_knee_joint,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint
45,1.073154,0.018966,0.871529,0.029964,0.024516,0.062319,0.997305,-0.172621,0.304107,0,0,0,-0.004178,0.194256,-0.209936,0.466547,0,0,0,-0.908849,-0.34603,0.103411,-0.304203,0.053421,-0.027076,-0.398868,0.011239,-0.278446,0.972407,0.328124,0.026758,-0.961258,0.023453,0.026207,0.816871,-0.142837,-0.098361,-0.044594
46,1.101705,0.01526,0.866037,0.024838,0.021274,0.060341,0.997642,-0.173878,0.305222,0,0,0,-0.004172,0.210872,-0.208088,0.463545,0,0,0,-0.918595,-0.34258,0.110624,-0.304479,0.064954,-0.017755,-0.395752,0.005632,-0.30176,0.944678,0.300515,0.026494,-0.915357,0.017922,0.036491,0.814378,-0.124989,-0.076368,-0.005392
47,1.130906,0.011484,0.862215,0.018878,0.016532,0.056895,0.998065,-0.173088,0.306985,0,0,0,-0.004144,0.222366,-0.210347,0.45356,0,0,0,-0.922522,-0.326416,0.11457,-0.297255,0.078328,-0.006356,-0.39028,-0.000397,-0.29938,0.885827,0.264936,0.025608,-0.844573,0.012367,0.054685,0.793339,-0.097285,-0.051984,0.046796
48,1.160328,0.007729,0.859695,0.014549,0.014945,0.053837,0.998332,-0.167377,0.308505,0,0,0,-0.004083,0.225567,-0.219736,0.434413,0,0,0,-0.926046,-0.295743,0.114292,-0.279902,0.078365,0.00018,-0.387287,-0.009125,-0.297412,0.831407,0.229605,0.026656,-0.772484,0.007834,0.081927,0.753309,-0.069156,-0.032909,0.101622
49,1.18945,0.004,0.858042,0.012334,0.013855,0.050969,0.998528,-0.161265,0.312678,0,0,0,-0.004097,0.228876,-0.22974,0.409065,0,0,0,-0.917071,-0.253785,0.11266,-0.253602,0.076513,0.005614,-0.386056,-0.017543,-0.296805,0.802868,0.205501,0.030092,-0.718936,0.003984,0.117696,0.694562,-0.037127,-0.020071,0.163925
50,1.217949,0.000344,0.856994,0.010359,0.013249,0.048239,0.998694,-0.15558,0.318096,0,0,0,-0.091053,0.234565,-0.244721,0.412019,0,0,0,-0.890412,-0.206748,0.112138,-0.222117,0.075277,0.014735,-0.384858,-0.024544,-0.288791,0.772282,0.182448,0.032531,-0.666174,0.00055,0.15984,0.618218,-0.000862,-0.010136,0.233291
51,1.24561,-0.003399,0.857122,0.00886,0.01307,0.04548,0.99884,-0.150088,0.321073,0,0,0,-0.272081,0.234218,-0.268762,0.444606,0,0,0,-0.84849,-0.163323,0.111153,-0.190617,0.072212,0.020631,-0.38207,-0.028984,-0.24718,0.683432,0.151672,0.029534,-0.585056,-0.002178,0.213722,0.510798,0.041035,-0.00504,0.316078
52,1.272089,-0.007254,0.858654,0.007896,0.013248,0.042799,0.998965,-0.14641,0.319217,0,0,0,-0.359092,0.223723,-0.279818,0.437817,0,0,0,-0.790192,-0.126047,0.109707,-0.163603,0.068638,0.022298,-0.375591,-0.034612,-0.250006,0.680747,0.138685,0.033981,-0.549921,-0.001492,0.251427,0.400226,0.082233,-0.010749,0.405962
53,1.296696,-0.010973,0.861412,0.007232,0.013702,0.04021,0.999071,-0.146663,0.310141,0,0,0,-0.403935,0.202448,-0.279259,0.41537,0,0,0,-0.714401,-0.099261,0.109829,-0.145175,0.067079,0.020553,-0.362702,-0.039793,-0.247253,0.664911,0.125312,0.037512,-0.511243,0.002485,0.132316,0.545742,0.071511,-0.016688,0.371707
54,1.319233,-0.014137,0.865126,0.006718,0.014354,0.037725,0.999162,-0.151898,0.293156,0,0,0,-0.420425,0.169505,-0.268974,0.384402,0,0,0,-0.621196,-0.088443,0.11349,-0.136982,0.069107,0.016192,-0.342488,-0.044063,-0.244537,0.640632,0.112324,0.040198,-0.471362,0.005358,-0.018884,0.778768,0.033079,-0.017517,0.2691
